"NAME","NAME_ORIG","NAME_ENG","NAME_EXTRA","CODE","COUNTRY"
"АЛЕКСАНДРОВСКИЙ (РЗД)","АЛЕКСАНДРОВСКИЙ (РЗД)",,"АЛЕКСАНДРОВСКИЙ (РЗД)",515509,"Россия"
"АЛЕКСАНДРО-НЕВСКАЯ","АЛЕКСАНДРО-НЕВСКАЯ",,"АЛЕКСАНДРО-НЕВСКАЯ",604007,"Россия"
"АЛЕКСЕЕВКА","АЛЕКСЕЕВКА",,"АЛЕКСЕЕВКА",581407,"Россия"
"АЛЕКСЕЕВСКАЯ","АЛЕКСЕЕВСКАЯ",,"АЛЕКСЕЕВСКАЯ",657502,"Россия"
"АЛЕКСИКОВО","АЛЕКСИКОВО",,"АЛЕКСИКОВО",612906,"Россия"
"АЛЕКСИН","АЛЕКСИН",,"АЛЕКСИН",211401,"Россия"
"АЛЕШИНКА","АЛЕШИНКА",,"АЛЕШИНКА",53101,"Россия"
"АЛЗАМАЙ","АЛЗАМАЙ",,"АЛЗАМАЙ",920708,"Россия"
"АЛЛАГУВАТ","АЛЛАГУВАТ",,"АЛЛАГУВАТ",652808,"Россия"
"АЛНАШИ","АЛНАШИ",,"АЛНАШИ",255109,"Россия"
"АЛОНКА","АЛОНКА",,"АЛОНКА",916905,"Россия"
"АЛПАТОВО","АЛПАТОВО",,"АЛПАТОВО",539607,"Россия"
"АЛПАТЬЕВО","АЛПАТЬЕВО",,"АЛПАТЬЕВО",234507,"Россия"
"АЛТАЙСКАЯ","АЛТАЙСКАЯ",,"АЛТАЙСКАЯ",840005,"Россия"
"АЛТАТА","АЛТАТА",,"АЛТАТА",628209,"Россия"
"АЛТУХОВО","АЛТУХОВО",,"АЛТУХОВО",203903,"Россия"
"АЛФЕРОВО","АЛФЕРОВО",,"АЛФЕРОВО",243205,"Россия"
"АЛЬБА","АЛЬБА",,"АЛЬБА",997907,"Россия"
"АЛЬМЕЖ","АЛЬМЕЖ",,"АЛЬМЕЖ",272509,"Россия"
"АЛЬМЕТЬЕВСКАЯ","АЛЬМЕТЬЕВСКАЯ",,"АЛЬМЕТЬЕВСКАЯ",647905,"Россия"
"АЛЬМУХАМЕДОВО","АЛЬМУХАМЕДОВО",,"АЛЬМУХАМЕДОВО",818209,"Россия"
"АЛЯБЬЕВО","АЛЯБЬЕВО",,"АЛЯБЬЕВО",778209,"Россия"
"АМАЗАР","АМАЗАР",,"АМАЗАР",951104,"Россия"
"АМБАРНЫЙ","АМБАРНЫЙ",,"АМБАРНЫЙ",13706,"Россия"
"АМГУНЬ","АМГУНЬ",,"АМГУНЬ",918801,"Россия"
"АМЗЯ","АМЗЯ",,"АМЗЯ",257509,"Россия"
"АМУР","АМУР",,"АМУР",970302,"Россия"
"АМУРСКАЯ","АМУРСКАЯ",,"АМУРСКАЯ",956502,"Россия"
"АНАПА","АНАПА",,"АНАПА",522803,"Россия"
"АНГАСОЛКА","АНГАСОЛКА",,"АНГАСОЛКА",933200,"Россия"
"АНГЕЛИНСКАЯ","АНГЕЛИНСКАЯ",,"АНГЕЛИНСКАЯ",522305,"Россия"
"АНГОЯ","АНГОЯ",,"АНГОЯ",903505,"Россия"
"АНДРЕАПОЛЬ","АНДРЕАПОЛЬ",,"АНДРЕАПОЛЬ",67903,"Россия"
"АНДРЕЕВО","АНДРЕЕВО",,"АНДРЕЕВО",45603,"Россия"
"АНДРЕЕДМИТРИЕВКА","АНДРЕЕДМИТРИЕВКА",,"АНДРЕЕДМИТРИЕВКА",536007,"Россия"
"АНДРИАНОВИЧИ","АНДРИАНОВИЧИ",,"АНДРИАНОВИЧИ",776504,"Россия"
"АНЖЕРСКАЯ","АНЖЕРСКАЯ",,"АНЖЕРСКАЯ",875907,"Россия"
"АНЗЕБИ","АНЗЕБИ",,"АНЗЕБИ",924906,"Россия"
"АНИСИМОВКА","АНИСИМОВКА",,"АНИСИМОВКА",983603,"Россия"
"АНИСОВКА","АНИСОВКА",,"АНИСОВКА",625501,"Россия"
"АННА","АННА",,"АННА",591201,"Россия"
"АНОСОВО","АНОСОВО",,"АНОСОВО",806409,"Россия"
"АНТИПИХА","АНТИПИХА",,"АНТИПИХА",942302,"Россия"
"АНТРОПОВО","АНТРОПОВО",,"АНТРОПОВО",306300,"Россия"
"АНТРОПШИНО","АНТРОПШИНО",,"АНТРОПШИНО",32406,"Россия"
"АНТРОПШИНО (ЭКСП.)","АНТРОПШИНО (ЭКСП.)",,"АНТРОПШИНО (ЭКСП.)",32603,"Россия"
"АНЦИФЕРОВО-МОЛОГСКОЕ","АНЦИФЕРОВО-МОЛОГСКОЕ",,"АНЦИФЕРОВО-МОЛОГСКОЕ",44206,"Россия"
"АПАТИТЫ","АПАТИТЫ",,"АПАТИТЫ",16009,"Россия"
"АПОЛЛОНСКАЯ","АПОЛЛОНСКАЯ",,"АПОЛЛОНСКАЯ",537300,"Россия"
"АППАРАТНАЯ","АППАРАТНАЯ",,"АППАРАТНАЯ",780800,"Россия"
"АПРЕЛЕВКА","АПРЕЛЕВКА",,"АПРЕЛЕВКА",181009,"Россия"
"АПСАЛЯМОВО","АПСАЛЯМОВО",,"АПСАЛЯМОВО",650700,"Россия"
"АПШЕРОНСКАЯ","АПШЕРОНСКАЯ",,"АПШЕРОНСКАЯ",534500,"Россия"
"АРАМИЛЬ","АРАМИЛЬ",,"АРАМИЛЬ",794409,"Россия"
"АРБУЗОВКА","АРБУЗОВКА",,"АРБУЗОВКА",846105,"Россия"
"АРБУЗОВО","АРБУЗОВО",,"АРБУЗОВО",205006,"Россия"
"АРГА","АРГА",,"АРГА",954009,"Россия"
"АРГАЯШ","АРГАЯШ",,"АРГАЯШ",803101,"Россия"
"АРГУН","АРГУН",,"АРГУН",541405,"Россия"
"АРДАТОВ","АРДАТОВ",,"АРДАТОВ",247403,"Россия"
"АРДОН","АРДОН",,"АРДОН",538303,"Россия"
"АРДЫМ","АРДЫМ",,"АРДЫМ",608402,"Россия"
"АРЗАМАС 1","АРЗАМАС 1",,"АРЗАМАС 1",245605,"Россия"
"АРЗАМАС 2","АРЗАМАС 2",,"АРЗАМАС 2",244208,"Россия"
"АРКАДАК","АРКАДАК",,"АРКАДАК",605809,"Россия"
"АРЛЮК","АРЛЮК",,"АРЛЮК",870706,"Россия"
"АРМАВИР-РОСТОВСКИЙ","АРМАВИР-РОСТОВСКИЙ",,"АРМАВИР-РОСТОВСКИЙ",530208,"Россия"
"АРМАВИР-ТУАПСИНСКИЙ","АРМАВИР-ТУАПСИНСКИЙ",,"АРМАВИР-ТУАПСИНСКИЙ",530301,"Россия"
"АРМЕНКИ","АРМЕНКИ",,"АРМЕНКИ",315719,"Россия"
"АРМЯЗЬ","АРМЯЗЬ",,"АРМЯЗЬ",256506,"Россия"
"АРМЯНСК (ЭКСП)","АРМЯНСК (ЭКСП)",,"АРМЯНСК (ЭКСП)",869605,"Россия"
"АРМЯНСК (ЭКСП)","АРМЯНСК (ЭКСП)",,"АРМЯНСК (ЭКСП)",472500,"Россия"
"АРСАКИ","АРСАКИ",,"АРСАКИ",236803,"Россия"
"АРСЕНТЬЕВКА","АРСЕНТЬЕВКА",,"АРСЕНТЬЕВКА",992602,"Россия"
"АРСЕНЬЕВ","АРСЕНЬЕВ",,"АРСЕНЬЕВ",976205,"Россия"
"АРСЕНЬЕВО","АРСЕНЬЕВО",,"АРСЕНЬЕВО",213708,"Россия"
"АРСК","АРСК",,"АРСК",253508,"Россия"
"АРТЕЗИАН","АРТЕЗИАН",,"АРТЕЗИАН",541908,"Россия"
"АРТЕМ-ПРИМОРСКИЙ 1","АРТЕМ-ПРИМОРСКИЙ 1",,"АРТЕМ-ПРИМОРСКИЙ 1",982403,"Россия"
"АРТЕМ-ПРИМОРСКИЙ 3","АРТЕМ-ПРИМОРСКИЙ 3",,"АРТЕМ-ПРИМОРСКИЙ 3",982600,"Россия"
"АРТЫШТА 2","АРТЫШТА 2",,"АРТЫШТА 2",862701,"Россия"
"АРХАНГЕЛЬСК","АРХАНГЕЛЬСК",,"АРХАНГЕЛЬСК",290403,"Россия"
"АРХАНГЕЛЬСК-ГОРОД","АРХАНГЕЛЬСК-ГОРОД",,"АРХАНГЕЛЬСК-ГОРОД",290507,"Россия"
"АРХАНГЕЛЬСК-ГОРОД (ПЕРЕВ.)","АРХАНГЕЛЬСК-ГОРОД (ПЕРЕВ.)",,"АРХАНГЕЛЬСК-ГОРОД (ПЕРЕВ.)",290704,"Россия"
"АРХАНГЕЛЬСК-ГОРОД (ЭКСП.)","АРХАНГЕЛЬСК-ГОРОД (ЭКСП.)",,"АРХАНГЕЛЬСК-ГОРОД (ЭКСП.)",290600,"Россия"
"АРХАНГЕЛЬСК (ПЕРЕВ.)","АРХАНГЕЛЬСК (ПЕРЕВ.)",,"АРХАНГЕЛЬСК (ПЕРЕВ.)",290102,"Россия"
"АРХАНГЕЛЬСК (ЭКСП.)","АРХАНГЕЛЬСК (ЭКСП.)",,"АРХАНГЕЛЬСК (ЭКСП.)",291209,"Россия"
"АРХАРА","АРХАРА",,"АРХАРА",960601,"Россия"
"АРЧЕДА","АРЧЕДА",,"АРЧЕДА",613805,"Россия"
"АРШИНЦЕВО","АРШИНЦЕВО",,"АРШИНЦЕВО",471207,"Россия"
"АРШИНЦЕВО","АРШИНЦЕВО",,"АРШИНЦЕВО",867703,"Россия"
"АРШИНЦЕВО (ЭКСП.)","АРШИНЦЕВО (ЭКСП.)",,"АРШИНЦЕВО (ЭКСП.)",867609,"Россия"
"АРШИНЦЕВО (ЭКСП.)","АРШИНЦЕВО (ЭКСП.)",,"АРШИНЦЕВО (ЭКСП.)",470906,"Россия"
"АРЬЯ","АРЬЯ",,"АРЬЯ",266705,"Россия"
"АСБЕСТ","АСБЕСТ",,"АСБЕСТ",793800,"Россия"
"АСЕЕВСКАЯ","АСЕЕВСКАЯ",,"АСЕЕВСКАЯ",634500,"Россия"
"АСЕКЕЕВО","АСЕКЕЕВО",,"АСЕКЕЕВО",659601,"Россия"
"АСЕЛЬЕ","АСЕЛЬЕ",,"АСЕЛЬЕ",178006,"Россия"
"АСИНО","АСИНО",,"АСИНО",875108,"Россия"
"АСКИЗ","АСКИЗ",,"АСКИЗ",887001,"Россия"
"АСТРАХАНЬ 1","АСТРАХАНЬ 1",,"АСТРАХАНЬ 1",616803,"Россия"
"АСТРАХАНЬ 2","АСТРАХАНЬ 2",,"АСТРАХАНЬ 2",616907,"Россия"
"АСФАЛЬТНАЯ","АСФАЛЬТНАЯ",,"АСФАЛЬТНАЯ",800309,"Россия"
"АТАМАН","АТАМАН",,"АТАМАН",517504,"Россия"
"АТАМАНОВКА","АТАМАНОВКА",,"АТАМАНОВКА",942506,"Россия"
"АТИГ","АТИГ",,"АТИГ",782401,"Россия"
"АТКАРСК","АТКАРСК",,"АТКАРСК",608807,"Россия"
"АТЯШЕВО","АТЯШЕВО",,"АТЯШЕВО",247309,"Россия"
"АУР","АУР",,"АУР",963309,"Россия"
"АФИПСКАЯ","АФИПСКАЯ",,"АФИПСКАЯ",524000,"Россия"
"АФРИКАНДА","АФРИКАНДА",,"АФРИКАНДА",15608,"Россия"
"АХПУН","АХПУН",,"АХПУН",865708,"Россия"
"АХТАРИ","АХТАРИ",,"АХТАРИ",516304,"Россия"
"АХТУБА","АХТУБА",,"АХТУБА",616201,"Россия"
"АХТЫРСКАЯ","АХТЫРСКАЯ",,"АХТЫРСКАЯ",523609,"Россия"
"АЧИНСК 1","АЧИНСК 1",,"АЧИНСК 1",880002,"Россия"
"АЧИНСК 2","АЧИНСК 2",,"АЧИНСК 2",883809,"Россия"
"АША","АША",,"АША",655901,"Россия"
"АШУЛУК","АШУЛУК",,"АШУЛУК",617806,"Россия"
"АЭРОПОРТ","АЭРОПОРТ",,"АЭРОПОРТ",180701,"Россия"
"АЯТЬ","АЯТЬ",,"АЯТЬ",771407,"Россия"
"БАБАЕВО","БАБАЕВО",,"БАБАЕВО",46409,"Россия"
"БАБАРЫКИНО","БАБАРЫКИНО",,"БАБАРЫКИНО",593508,"Россия"
"БАБУШКИНО","БАБУШКИНО",,"БАБУШКИНО",786807,"Россия"
"БАБЫНИНО","БАБЫНИНО",,"БАБЫНИНО",184609,"Россия"
